来源文件,来源Sheet,原始行号,系统大类,系统,界面,界面过程名称,FGUI名称,界面优先级,负责交互,负责拼接,负责GUI,PC定制等级,PC制作方式,PC工作量,定制优先级,PC制作进展,RLS备注,B2备注,风格迭代总进展,跑测来源
SOC项目全量界面整理.xlsx,界面盘点,2,全局通用,通用界面,对象选择浮窗,对象选择浮窗,UiExpandPopup,P0,王斌,谢爱萍,王京京,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,3,全局通用,通用界面,半屏选择弹窗,半屏选择弹窗,UiCommonSelectInventorySide@CommonSelectInventorySide,P0,王斌,谢爱萍,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,4,全局通用,通用界面,卡片选项弹窗,卡片选项弹窗,UiRewardChoose,P0,李艺,谢爱萍,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,5,全局通用,通用界面,数字键盘,数字键盘,UiCounterPopup,P0,余子文,谢爱萍,蒲诗雨,4-部分功能定制,适配+部分定制,E,P2可改,制作完成,,键盘直接输入数字 / 确定/撤回绑定快捷键 / 键位hover状态,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,6,全局通用,通用界面,道具TIPS,道具TIPS,ComTipsMain,P0,余子文,谢爱萍,王京京,3-纯表现定制,适配+部分定制,F,P0必改,制作完成,,绑定快捷键 / UI适配,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,7,全局通用,通用界面,改名弹窗,改名弹窗,bna,P0,余子文,谢爱萍,李萨,2-适配优化,纯适配+pc框架,无需,无需,暂不处理,,,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,8,全局通用,通用界面,数量拆分弹窗,数量拆分弹窗,UiItemSplit,P0,王斌,谢爱萍,李萨,2-适配优化,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,9,全局通用,通用界面,分享,分享,,P1,傅柄乔,谢爱萍,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,10,全局通用,通用界面,拍脸弹窗,拍脸弹窗,,P0,王斌,谢爱萍,彭歆妍,4-部分功能定制,适配+部分定制,E,P2可改,制作中,,绑定快捷键 / （关闭、翻页、详情）,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,11,全局通用,通用界面,通用键盘输入框控件,通用键盘输入框控件,,P0,傅柄乔,谢爱萍,,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,PC无该组件,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,12,全局通用,通用界面,全屏打断弹窗关闭框架 + / 恭喜获得弹窗,全屏打断弹窗关闭框架 + / 恭喜获得弹窗,UiCommonReward,P0,余子文,谢爱萍,李萨,4-部分功能定制,纯适配+pc框架,E,P1尽量,制作中,,全屏打断弹窗关闭框架 / 1、恭喜获得 / 2、升级 / 3、新手对话 / 4、抄家的结算 / 5、安全下线 / 6、接线结算 / 7、睡觉,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,13,全局通用,全局组件,PC定制组件,PC定制组件,,,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,C,P0必改,制作完成,待增补,1、全局弹窗缩小 / 2、通用组件hover / 3、PC定制组件 / 4、风格化交互（鼠标视差等） / 5、画面尺寸规则 / 6、字号二次缩小,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,14,全局通用,全局组件,PC鼠标,PC鼠标,,,王斌,蔡婷艳,李萨,6-完全定制,定制,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,16,局外系统（含跨局内外部分）,全局组件,登录器（PC）,登录器（PC）,无,P0,王斌,无,彭歆妍,无需,定制,无需,无需,暂不处理,,wegame处理,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,17,局外系统（含跨局内外部分）,全局组件,无,登录器（PC）,无,P0,王斌,无,彭歆妍,无需,定制,无需,无需,暂不处理,,wegame处理,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,18,局外系统（含跨局内外部分）,全局组件,无,登录器（PC）,无,P0,王斌,无,彭歆妍,无需,定制,无需,无需,暂不处理,,wegame处理,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,19,局外系统（含跨局内外部分）,全局组件,区服选择,区服选择,,P2,傅柄乔,谢爱萍,王京京,1-纯适配,纯适配+pc框架,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,24,局外系统（含跨局内外部分）,全局组件,登录界面,登录界面,UiLoginView@LoginView,P0,石凤姣,谢爱萍,王京京,4-部分功能定制,定制,E,P0必改,待处理,1、退出游戏 / 2、UI布局 / 3、视频换高清,接入PC登录流程,随迭代处理,全量界面跑测表
SOC项目全量界面整理.xlsx,界面盘点,25,局外系统（含跨局内外部分）,全局组件,loading公告,loading公告,无,P0,傅柄乔,谢爱萍,蒲诗雨,1-纯适配,纯适配+pc框架,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,26,局外系统（含跨局内外部分）,全局组件,登录前公告,登录前公告,,P0,傅柄乔,谢爱萍,蒲诗雨,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,27,局外系统（含跨局内外部分）,创角,选择身份,选择身份,RootCreateRoleNew,P0,石凤姣,杨帅帅,刘敏,3-纯表现定制,适配+部分定制,E,P2可改,制作完成,1、重新刷一下适配表现,PC选择身份卡片平铺,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,28,局外系统（含跨局内外部分）,创角,RootCreateRoleNew,创角,RootCreateRoleNew,P0,石凤姣,杨帅帅,刘敏,,纯适配+pc框架,无需,无需,,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,29,局外系统（含跨局内外部分）,创角,档案页,档案页,ComFile,P0,石凤姣,杨帅帅,刘敏,,纯适配+pc框架,无需,无需,,,,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,30,局外系统（含跨局内外部分）,新手,CG,CG,,P0,,杨帅帅,,,适配+部分定制,F,P1尽量,,,跳过按钮定制交互,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,31,局外系统（含跨局内外部分）,新手,新手对话,新手对话,UiDialog@LobbyDialog,P0,徐博,蔡婷艳,李萨,2-适配优化,纯适配+pc框架,无需,无需,待处理,,接一下弹窗关闭框架,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,32,局外系统（含跨局内外部分）,新手,操作引导,操作引导,,P0,徐博,李秋,李萨,4-部分功能定制,适配+部分定制,D,P0必改,制作中,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,33,局外系统（含跨局内外部分）,大厅,大厅主页,大厅主页,ComLobbyMainRoot,P0,王斌,杨帅帅,王京京,4-部分功能定制,适配+部分定制,无需,无需,待处理,,功能迭代一起处理,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,34,局外系统（含跨局内外部分）,大厅,升级弹窗,升级弹窗,,P0,李艺,谢爱萍,王京京,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,接一下弹窗关闭框架,未处理,
SOC项目全量界面整理.xlsx,界面盘点,35,局外系统（含跨局内外部分）,大厅,潘多拉—活动拍脸,潘多拉—活动拍脸,,,孙晓娣,无,王京京,6-完全定制,纯适配+pc框架,无需,无需,制作中,跟进腾讯验收,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,36,局外系统（含跨局内外部分）,仓库,仓库,仓库,UiLobbyStash,P1,余子文,李秋,李宁,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,37,局外系统（含跨局内外部分）,个人信息,主页,主页,UiPlayerHomeView,P0,李艺,熊峰,李萨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,38,局外系统（含跨局内外部分）,个人信息,修改头像,修改头像,卡片选择,P0,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,39,局外系统（含跨局内外部分）,个人信息,修改头像框,修改头像框,UiPlayerDeckOut,P0,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,40,局外系统（含跨局内外部分）,个人信息,修改名片,修改名片,UiPlayerDeckOut,P0,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,41,局外系统（含跨局内外部分）,个人信息,修改气泡,修改气泡,UiPlayerDeckOut,P1,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,42,局外系统（含跨局内外部分）,个人信息,展示名片,展示名片,UiPlayerHomeCard,P1,李艺,熊峰,李萨,2-适配优化,适配+部分定制,E,P2可改,制作完成,,快捷交互行为，如增加右键功能、绑定快捷键,未处理,
SOC项目全量界面整理.xlsx,界面盘点,43,局外系统（含跨局内外部分）,个人信息,灯牌/标签弹窗,灯牌/标签弹窗,UiPlayerPersonalIntroduction,P1,李艺,熊峰,李萨,2-适配优化,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,44,局外系统（含跨局内外部分）,个人信息,社群灯牌,社群灯牌,,,李艺,熊峰,李萨,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,45,局外系统（含跨局内外部分）,个人信息,个人数据,个人数据,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,46,局外系统（含跨局内外部分）,个人信息,对局记录,对局记录,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,47,局外系统（含跨局内外部分）,个人信息,详细数据,详细数据,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,48,局外系统（含跨局内外部分）,个人信息,生存评分,生存评分,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,49,局外系统（含跨局内外部分）,个人信息,突袭记录,突袭记录,,,李艺,熊峰,王京京,2-适配优化,纯适配+pc框架,,,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,50,局外系统（含跨局内外部分）,个人信息,勋章,勋章,,P1,李艺,熊峰,王京京,,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,51,局外系统（含跨局内外部分）,个人信息,勋章-解锁条件,勋章-解锁条件,,P1,李艺,熊峰,王京京,,,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,52,局外系统（含跨局内外部分）,邮箱,邮箱,邮箱,UiLobbyMail@LobbyMail,P0,王斌,杨帅帅,李宁,2-适配优化,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,53,局外系统（含跨局内外部分）,生存手册,生存手册,生存手册,UiSurvivalManual@GameSurvivalManual,P0,王斌,李秋,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,54,局外系统（含跨局内外部分）,好友,好友列表,好友列表,UiLobbyFriend@LobbyFriend,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,55,局外系统（含跨局内外部分）,好友,添加好友,添加好友,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,56,局外系统（含跨局内外部分）,好友,请求列表,请求列表,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,57,局外系统（含跨局内外部分）,好友,临时好友,临时好友,,P0,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,58,局外系统（含跨局内外部分）,好友,好友赠礼,好友赠礼,,,傅柄乔,杨帅帅,冯健恒,1-纯适配,纯适配+pc框架,,,暂不处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,59,局外系统（含跨局内外部分）,好友,赠礼页面,赠礼页面,,,傅柄乔,杨帅帅,冯健恒,1-纯适配,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,61,局外系统（含跨局内外部分）,设置,基础设置,基础设置,UISetting@GameSetting,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,62,局外系统（含跨局内外部分）,设置,音效和音量,音效和音量,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,63,局外系统（含跨局内外部分）,设置,拾取设置,拾取设置,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,64,局外系统（含跨局内外部分）,设置,设置-操作设置,设置-操作设置,,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,PC无此功能,未处理,
SOC项目全量界面整理.xlsx,界面盘点,65,局外系统（含跨局内外部分）,设置,设置-自定义键位,设置-自定义键位,,,石凤姣,蔡婷艳,冯健恒,6-完全定制,纯适配+pc框架,无需,无需,制作完成,,PC无此功能,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,66,局外系统（含跨局内外部分）,设置,键鼠设置,键鼠设置,UISetting_PC@GameSetting_PC,P0,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,67,局外系统（含跨局内外部分）,设置,快捷发言,快捷发言,,,石凤姣,蔡婷艳,冯健恒,6-完全定制,定制,无需,无需,待处理,,,,
SOC项目全量界面整理.xlsx,界面盘点,68,局外系统（含跨局内外部分）,组队,组队邀请侧弹窗,组队邀请侧弹窗,UiCommonInvite,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,未作悬浮态（20251112）,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,69,局外系统（含跨局内外部分）,组队,大厅招募,大厅招募,UiCommonTeam,P2,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,70,局外系统（含跨局内外部分）,组队,消息中心弹窗,消息中心弹窗,,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,71,局外系统（含跨局内外部分）,组队,组队侧弹窗-搜索好友,组队侧弹窗-搜索好友,UiCommonInvite,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,好友系统,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,72,局外系统（含跨局内外部分）,组队,发布招募,发布招募,UiPublishRecruit,P1,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,73,局外系统（含跨局内外部分）,组队,局外组队主界面-大厅队伍,局外组队主界面-大厅队伍,UiLobbyTeam,P0,余子文,李秋,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,74,局外系统（含跨局内外部分）,组队,局外组队主界面-预约队伍,局外组队主界面-预约队伍,UiLobbyTeam,P0,余子文,李秋,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,75,局外系统（含跨局内外部分）,组队,预约招募,预约招募,UiCommonTeam,P0,余子文,李秋,李宁,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,76,局外系统（含跨局内外部分）,组队,战局招募,战局招募,UiCommonTeam,P0,余子文,李秋,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,77,局外系统（含跨局内外部分）,组队,我的队伍,我的队伍,UiCommonTeam@CommonTeam,P0,余子文,李秋,李宁,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,78,局外系统（含跨局内外部分）,组队,选择时段弹窗,选择时段弹窗,UiTeamBooking@LobbyTeam,P0,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,79,局外系统（含跨局内外部分）,组队,发布预约招募,发布预约招募,UiPublishRecruit,P0,余子文,李秋,李宁,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,未处理,
SOC项目全量界面整理.xlsx,界面盘点,80,局外系统（含跨局内外部分）,战局/匹配流程,游戏选择模式,游戏选择模式,UiSelectPlayMode@LobbySelectPlayMode,P0,余子文,谢爱萍,彭歆妍,3-纯表现定制,适配+部分定制,无需,无需,制作完成,,UI适配定制,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,81,局外系统（含跨局内外部分）,战局/匹配流程,大厅-组队中状态,大厅-组队中状态,ComLobbyMainRoot,P0,余子文,谢爱萍,彭歆妍,2-适配优化,纯适配+pc框架,无需,无需,待处理,,绑定快捷键,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,82,局外系统（含跨局内外部分）,战局/匹配流程,找到对局提醒,找到对局提醒,ComMatchFeedback,P0,余子文,谢爱萍,彭歆妍,2-适配优化,纯适配+pc框架,无需,无需,待处理,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,83,局外系统（含跨局内外部分）,聊天,世界频道聊天,世界频道聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,适配+部分定制,无需,无需,制作完成,,UI适配定制 / 语音输入定制,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,84,局外系统（含跨局内外部分）,聊天,私聊,私聊,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,85,局外系统（含跨局内外部分）,聊天,队伍聊天,队伍聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,86,局外系统（含跨局内外部分）,聊天,社群聊天,社群聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,87,局外系统（含跨局内外部分）,聊天,公会聊天,公会聊天,ChatMain,P0,傅柄乔,蔡婷艳,李宁,,,,,,,,,
SOC项目全量界面整理.xlsx,界面盘点,88,局外系统（含跨局内外部分）,聊天,聊天语音,聊天语音,UiChat@GameChat,P0,傅柄乔,蔡婷艳,李宁,4-部分功能定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,89,局外系统（含跨局内外部分）,服务器列表,服务器列表,服务器列表,UiLobbyServerList@LobbyServerList,P2,,蔡婷艳,,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,无需处理,
SOC项目全量界面整理.xlsx,界面盘点,90,局外系统（含跨局内外部分）,历史战局,历史战局,历史战局,UiHistoryBattle,P1,余子文,蔡婷艳,彭歆妍,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,随迭代处理,
SOC项目全量界面整理.xlsx,界面盘点,91,局外系统（含跨局内外部分）,历史战局,游戏删除确认,游戏删除确认,deleteHistoryPanel,P1,余子文,蔡婷艳,彭歆妍,1-纯适配,纯适配+pc框架,无需,无需,暂不处理,,,待定,
SOC项目全量界面整理.xlsx,界面盘点,92,局外系统（含跨局内外部分）,皮肤(收藏),主页,主页,RootLobbySkinEntrance,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,待定,
SOC项目全量界面整理.xlsx,界面盘点,93,局外系统（含跨局内外部分）,皮肤(收藏),道具&武器,道具&武器,UiLobbySkinWeapon,P0,王斌,李秋,蒲诗雨,3-纯表现定制,适配+部分定制,F,P1尽量,制作完成,,UI适配定制,未处理,
SOC项目全量界面整理.xlsx,界面盘点,94,局外系统（含跨局内外部分）,皮肤(收藏),通用预览,通用预览,UiCommonPreview,P0,王斌,李秋,蒲诗雨,3-纯表现定制,纯适配+pc框架,无需,无需,制作完成,,,未处理,
