sheet序号,系统/跑测表,系统归一名,问题数,主要负责职能,主要解决人员,负责UI,状态分布,所属模块,样例问题
48,39-举报-1,举报-1,12,拼接(9)、客户端(8)、GUI(1),陈建婵(7)、范长鸿(4)、申浩(2)、蔡婷艳(1)、刘剑帆(1),,已关闭(11),SDK(12),20251209编辑器PC端局内Esc菜单顶部举报入口常态图标太亮，整个入口的图标和文字缺乏悬浮态表现，界面表现与GUI设计效果不符；20251209局内举报入口问题①编辑器移动端入口图标太亮②举报菜单浮窗与举报入口按钮间距太大需要缩小③ 举报菜单面底板透明度有些过高了，上下层信息相互干扰；PC端举报选项面板右侧超出屏幕
49,40-组队,组队,217,拼接(100)、客户端(58)、策划(9)、服务器(5)、动效(4),杨帅帅(59)、李秋(25)、余子文(23)、黄建敏(20)、刘剑帆(12),,已关闭(108)、未处理(77)、待修复(2)、修复完成(2),社交系统(122),我的擅长内容应该全部展示，跟随整体内容进行滑动，而不是单独滑动；自荐宣言，右上角括号显示不全，需要调整显示区域或位置；自荐宣言，标签向左拖动，会自动复原，导致无法点击后面的标签
50,41-快捷栏,快捷栏,4,拼接(4)、GUI(2)、UX(1)、客户端(1),冯健恒 蔡婷艳(2)、蔡婷艳(1),,未处理(4),,展开快捷栏时，快捷栏上方也提示和可丢弃；快捷栏的物品道具框数量字色显示不清；武器快捷栏拖拽提示信息不应该显示展开武器栏列表底板
51,pc端特殊容器,pc端特殊容器,31,客户端(23)、拼接(4)、策划(3)、GUI(1)、动效(1),郑剑渊(19)、王丰(3)、蔡婷艳(3)、彭歆妍(1)、李汉超(1),,未处理(30)、已关闭(1),,背包中可研究物与不可研究物在视觉上区分过小；研究台蓝图物品的进度动效没显示；研究台选择物品到研究产出的蓝图的动效出场和消失过渡生硬
52,pc端储物容器,pc端储物容器,18,客户端(18)、拼接(1),黄兴鹏(15)、蔡婷艳(1)、郭勇(1)、赵永双(1),,未处理(18),,保险柜未激活状态长按F激活，未生效；长按E激活保险柜时，会触发短按E切换顶部页签；单机左侧物品提示“双击转移”、双击左侧存入物品至右侧，功能缺失（似乎所有储物容器都坏了？）
53,41-PC悬浮态,pc悬浮态,3,客户端(1),,,未处理(3),,白框层级错误，应该在最顶层。fgui里显示是正确的；按钮文字不居中；按钮文字不居中
54,42-控件,控件,3,,,,未处理(3),,获得外观按钮重叠；按钮文字不居中；控件应和上面ui居中对齐
55,42-拍照系统（相机）,拍照系统(相机),13,客户端(11)、拼接(2)、GUI(2)、UX(1),黄伟平(10)、石凤姣(1)、冯健恒(1)、汪金明(1),张三(1),未处理(12)、已关闭(1),大厅(1),快捷键提示表现不统一通用底栏快捷键和字看不清；选中页签选中态红色底丢失；角色没有脸
56,43-中控台,中控台,28,拼接(21)、客户端(7),陈建婵(21)、庄博士(4)、李郑(3),,已关闭(26)、未处理(2),通用系统(27),当底部按钮减少时，需自适应显示；右下角按钮间间隔不一致；pc端banner图区域，翻页的定位点，会同时出现2.3个选中状态
57,43-通用组件,通用组件,51,拼接(48)、客户端(3),陈建婵(43)、蔡婷艳(1)、李秋(1)、吴鑫(1),李萨(41),已关闭(42)、未处理(6)、修复完成(2),通用系统(42)、社交系统(1),经过有一个白块；改名弹窗pc适配问题需调整；bedname弹窗pc适配问题需调整
58,43-恭喜获得,恭喜获得,2,拼接(2),,http:(2)、soc-redmine.wd.com(2)、issues(2)、95146(1)、102191(1),已关闭(1),丁周杰(1),1：背景透明度这里要用90% / 2：底板装饰看起来是消失了 / 3：图标上下不居中；数量很多的时候，右侧花纹会有bug（2.pc这排字不居中
59,手势喷漆,手势喷漆,16,拼接(13)、客户端(5)、GUI(3)、策划(1),蔡婷艳(7)、郭勇(3)、李秋(2),李萨(1),已关闭(1)、待修复(1),SDK(1),动作只播放了一次，常看不清，在选中同一个动作选项情况下无法再次预览 / 应该支持点击当前选中项再次播放动作；箭头图标显示位置不对；手势页一、三人称场景角色显示都异常
60,44-全局界面,全局界面,0,,,,,,
61,46-公告,公告,0,,,,,,
62,47-新手,新手,0,,,,,,
63,48-仓库,仓库,0,,,,,,
64,49-生存手册,生存手册,19,策划(7)、拼接(5)、GUI(4)、客户端(1),贾禹成(7)、蔡婷艳(4)、李宁(3)、汪金明(1)、蔡婷艳李宁(1),,已关闭(18),,点击热区太小了 应该是文字加快捷键（参考界面下面的空格关闭）；适配的时候，图片上下被压扁了，左右被拉伸了；少了一层底框，和正式效果对不上
65,51-大厅,大厅,17,拼接(14)、客户端(2)、动效(1),杨帅帅(10)、李汉超(2)、谢爱萍(2)、陈建婵(1),李艺(8)、李萨(7),未处理(8)、已关闭(5)、修复完成(3)、待修复(1),商业化系统(1),当没有组队的时候其他图标没有自适应 / 赛季banner上有一个奇怪小方块；多了一条线，且没有模糊 / 等级字色不对 / 聊天没有渐变；动效非常奇怪，需要重新做
66,50-好友,好友,0,,,,,,
67,52-个人信息,个人信息,17,拼接(16)、客户端(4)、GUI(2),谢爱萍(11)、范长鸿(3)、杨帅帅(2),,已关闭(13)、修复完成(2),通用系统(14)、商业化系统(1),主要次要文字标签关掉；列表和名称重叠；他人和名片都需要屏蔽操作的加号
68,53-新手服,新手服,27,客户端(16)、拼接(9)、策划(6)、GUI(1),谢爱萍(5)、杨皓屹(2)、谢爱萍 冯晨星(1),李艺(19),已关闭(15)、不用处理(8)、未处理(4),新手系统(1),任务路点不见，导致第一时间目标消失；图片中，斧子中间有个蓝色的2 / 加油站柱子上有蓝色数字3.1；点击求生指南后，再点击实力特训页签，实力特训页签应该盖在书本上，但现在似乎被隐藏到书本底下
69,54-赛季,赛季,106,拼接(72)、客户端(21)、策划(11)、动效(5)、GUI(1),杨帅帅(74)、郑剑渊(10)、龚浩添(8)、李汉超(5)、龚浩添 贾禹成(1),王京京(京)(5)、李艺(4),已关闭(63)、未处理(36),局内外循环(85)、【局内外循环】【赛季系统】(1),赛季主界面没有安全区适配；对局记录功能 缺失，无法点开应该屏蔽；个人数据功能 缺失，无法点开应该屏蔽
70,55-成长之路,成长之路,40,拼接(30)、客户端(7)、GUI(3)、策划(3)、动效(2),杨帅帅(19)、谢爱萍(7)、龚浩添(3)、李汉超(2)、庄博士(1),李艺(18),未处理(23),,TIPS离得太远；经过状态不对，和GUI确认；等级数字颜色不对， 只有当前等级是黄色， 已完成等级是白色，
71,56-行动列表,行动列表,18,拼接(10)、客户端(8)、动效(1),陈建婵(6)、李汉超(1),李艺(16)、李萨(1),已关闭(10)、未处理(7),,红色按钮用错；括号跑下面去了，是否文本范围拉大；tips位置不对，距离太远，接通用tips，调用通用规则
72,57-新手自评,新手自评,9,拼接(9)、客户端(2),杨帅帅(7),,已关闭(8)、待修复(1),,背景内容没有铺满；数字粗体错误（过粗）；气泡和文字没有居中对齐
73,58-局外势力任务,局外势力任务,65,拼接(59)、客户端(6)、动效(3)、策划(1),林斌(37)、李秋(19)、孙健(3)、李河斌(1)、刘敏 蔡婷艳(1),李艺(21),未处理(42)、已关闭(9),局内外循环(37)、@石璇(19),tab栏没有这种装饰性点点；字体应该为rust_regular加粗；装饰线缺失
74,59-局内任务,局内任务,13,拼接(8)、客户端(4)、GUI(2),蔡婷艳(4)、孙健(2)、林斌(2)、蔡婷艳 王京京(京)(1)、冯晨星(1),李艺(6),已关闭(9)、不用处理(1),局内外循环(9),有据点任务时，第二行任务条目只需要预留一行到一行半（已于拼接线下对齐）；刷卡任务完成后还能继续追踪；点开TIPS后，点空白处应该先关闭TIPS而不是整个侧弹关掉
75,60-情报柜,情报柜,37,拼接(27)、客户端(6)、动效(5)、策划(3)、GUI(3),谢爱萍(16)、李汉超(3)、谢爱萍 李汉超(2)、陈建婵(2)、向天宇(1),李艺(10),已关闭(33)、修复完成(1),局内玩法系统(17),运行起来后柜子有位移；1，加号色值问题 / 2，中间线不够长 / 3，文本歪了；经过的时候有白块
76,61-连线小游戏,连线小游戏,3,拼接(3),杨帅帅(2)、李汉超(1),李艺(3),已关闭(3),遗迹任务(3),黄色的倒计时没有对在格子上；格子不一样大；“]”太靠右了，没有适配文字
77,62-地图,地图,80,拼接(68)、客户端(9)、动效(2)、GUI(1),杨帅帅(66)、吴鑫(4)、待确定(3)、庄博士(2)、李汉超(2),,已关闭(67)、未处理(4),地图系统(73),"四周漏边；1,压黑 不够黑 / 2，滚动条丢失 / 3，底栏快捷键位置不对；左侧的页签快捷键位置不对，需要GUI补图"
78,63-运输玩法,运输玩法,8,策划(4)、客户端(3)、拼接(2),张鹤显(4)、金鹏远(1)、陈建婵(1),李艺(7)、张鹤显(1),未处理(8),,坐上火车后，蓝色的路点应该出现在火车站，不然目标丢失；d地图上出现奇怪的路点闪烁；火车停到路边，下车后 路点依然在最初的起点
79,64-悬浮标识,悬浮标识,3,策划(2)、拼接(1),吴承峰(1)、蔡婷艳(1)、黄志伟(1),李艺(3),未处理(3),,"手机的标识轨道不对,上抬一点；字体样式不对，太细了看不清；pc弹药的轨道显示"
80,65-战局结算,战局结算,5,普通-里程碑内解决(5),拼接(4),,,,这个字的描边不对，没这么粗，是和下一张的一样的；“详细数据”没有快捷键吗？；距离两边的间距不对（和两边上下是对齐的）
81,66-睡袋,睡袋,3,拼接(3),陈建婵(3),,修复完成(2)、已关闭(1),生存模块(3),字体大小，图标大小不对，睡袋数量位置不对；弹窗标题大小不对；左侧重生点位的文本位置不对
82,67-搜打建,搜打建,0,,,,,,
83,68-历史战局,历史战局,3,普通-里程碑内解决(3),拼接(2)、动效(1),,@李汉超(1),,动效从上面掉下来，样式不对；图标做叠色，现在太亮了；框住的地方颜色不对，多了条线
84,69-死亡流程,死亡流程,21,拼接(19)、客户端(1)、策划(1),林斌(18)、杨帅帅(1)、吴鑫(1)、吴承峰(1),李艺(8),已关闭(18)、修复完成(3),生存模块(21),黑底长度不太一样；1，中间橙色的四个直角 样式不对 / 2，图中“87”伤害数字歪了 / 3，底图加黑色纹理 / 4，未展开时，右侧的掉落icon横向滑动关掉 / 5，左上红色大字 字色不对；收起状态去掉
85,抄家,抄家,13,拼接(13),陈建婵(13),李萨(13),已关闭(12)、修复完成(1),抄家流程(13),“突袭成功”/分享按钮位置不对；数字字体需要取消加粗。直接用rust_CU数字字体；“遇袭时长”四个字之间间距太远
86,建造,建造,15,拼接(13)、客户端(2)、策划(1),李秋(6)、王斌(5)、蔡婷艳(2)、韶涵(1)、赵永双(1),王斌(11),未处理(12)、已关闭(3),,未选中模式字色不对；一级页签选中态字色不对，且没有描边；选中情况下，左右的竖线都该消失
87,抽奖,抽奖,35,拼接(27)、客户端(7)、策划(5)、动效(1),杨帅帅(14)、李郑(8)、蔡婷艳(7)、李敏(3)、陈建婵(3),王斌(26),已关闭(13)、待修复(10)、未处理(5)、修复完成(3),,不放回/重表现/活跃商店抽奖界面的info按钮和标签显示均重叠；不放回/重表现/活跃商店抽奖界面没显示奖池主题LOGO；【跳过抽奖动画】勾选项勾选框和文字没对齐
88,商城,商城,36,拼接(33)、GUI(3)、策划(3)、客户端(2)、动效(1),蔡婷艳(27)、谢爱萍(3)、何书越(3)、庄博士(1)、李汉超(1),王斌(10)、李宁(2),已关闭(31)、未处理(1),商业化系统(35),商城的商品卡片中的代币没有居中；购买按钮上的代币图标尺寸太小，图标具体按钮左侧的左边距不对；【购买】文字距离按钮右侧的右边距不对；商城【热卖推荐】（首页）、【捆绑直售】（捆绑包集合页）背景KV大图一圈缺少黑色遮罩，导致亮色背景下文字看不清
89,通行证,通行证,22,拼接(16)、GUI(2)、客户端(1)、策划(1),谢爱萍(12)、李秋(2)、钱程(1)、蒲诗雨(1),王斌(10),已关闭(14)、未处理(1),,通行证主界面底部的奖励列表数字序号不应该使用加粗字体；通行证主界面底部的奖励列表的右侧边缘衰减位置不正确。现在延伸到最右侧大奖励展示节点面板里面去了；点击通行证界面右上角的【详情】按钮，打开的说明弹窗底部没显示【ESC】关闭键位提示
90,收藏,收藏,32,拼接(23)、客户端(9)、策划(8)、场景美术(3)、GUI(2),谢爱萍(17)、汪金明(9)、李秋(4)、李敏(3)、杨林义(3),王斌(8),已关闭(23)、未处理(2)、待修复(2),,这里选中图标无法染色，需要新增一个控制器逻辑；收藏界面中的皮肤名称标题支持18个字符，后面两个按钮适配跟随；1. 【大厅持有】功能按钮展示状态不会刷新 / 2. 【大厅持有】按钮按钮只应该有亮/暗的状态，不应该显示选中外框
91,充值,充值,0,,,,,,
92,兴趣部落,兴趣部落,0,,,,,,
93,公会,公会,13,拼接(12)、客户端(2),李秋(6)、fbq(5)、杨帅帅(1)、杨皓屹(1),,已关闭(4),系统(1)、社交系统(1),pc弹窗按钮歪了；背景图被拉大了；列表间距需要和效果图一致
94,kol服,kol服,0,,,,,,
95,炫彩皮肤,炫彩皮肤,2,拼接(2)、客户端(1),蔡婷艳(2),王斌(2),已关闭(2),商业化系统(2),炫彩皮肤解锁多选一弹窗底部的按钮尺寸、位置均不一致；1. 炫彩皮肤解锁多选一弹窗中的卡片不应该显示价格 / 2. 炫彩皮肤解锁多选一弹窗中的卡片样式与设计不一致
96,特权,特权,0,,,,,,
97,使用道具,使用道具,0,,,,,,
98,载具hud,载具hud,0,,,,,,
99,新手关,新手关,0,,,,,,
100,举报,举报,0,,,,,,
101,主界面HUD,主界面hud,0,,,,,,
102,工具柜,工具柜,0,,,,,,
103,半屏类,半屏类,10,拼接(10)、客户端(1),林斌(7)、蔡婷艳(3),,已关闭(8)、未处理(2),载具系统(8),载具半屏底板透明度比效果图透；所有类型的半屏的载具模块的数字看不清的都需要改清楚，间距需要调近；马匹载具装备栏图标太透，没有文字
104,种植,种植,0,,,,,,
105,载具维修,载具维修,0,,,,,,
106,商店/售货机,商店/售货机,6,拼接(6),杨帅帅(6),李萨(6),未处理(6),,1：文字上下不居中，2：右侧图标和文字间距过近（pc/手游）；底板颜色不对（pc/手游）；需检查放大镜按钮的尺寸和颜色，（拼接可找gui-诗雨给色值） / （pc/手游）
107,喀秋莎,喀秋莎,4,拼接(4),杨帅帅(4),,已关闭(4),地图机制(4),左侧放大缩小滑动按钮太透；已装备/未装备字色都不对，具体问下gui(WJJ)；提示条底色不对，字色/图标色不对
108,PC 登录界面,pc登录界面,5,拼接(5),谢爱萍(4),,未处理(5),,字间距太近；选中态的字间距太近，缺少玩家名字和玩家等级；选择区服位置不对
109,领地攻防,领地攻防,12,拼接(11)、策划(1),林斌(11)、吴承峰(1),李萨(12),已关闭(11)、未处理(1),玩法模式(12),底部条位置不对。 / ui应该在pc安全区内；数字字体要用fgui里的数字粗体， / 不要加粗；装备选择界面文字与数字间距太近
